Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,..,6206547590.07403,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,15740683549.2312,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Albania,ALB,5279160805.75993,6057218861.96683,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12964502337.0284,12534895529.6924,13659219676.8332,14318507636.8055,14882173624.9218,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Algeria,DZA,91497228539.4122,109811551032.207,187493855609.345,194806115978.109,197728207717.781,200496402625.83,202300870249.462,192185826736.989,199488888152.994,206670488126.502,215143978139.689,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,American Samoa,ASM,..,..,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,656560305.343511,651422900.763359,662725190.839695,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Andorra,AND,1638036096.1623,2240766094.41807,2789881258.50362,2893376871.7235,2903390035.7376,2949518094.67896,3008967036.98289,2672445970.88657,2893905656.78942,3170696511.92972,3252613194.16191,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Angola,AGO,27672785864.6311,31304495193.7788,90496420506.5957,88161567931.4379,88031782694.3787,86872966032.8735,86262880684.9456,81399194250.7301,82375341952.5616,84883445838.1604,85733374749.9794,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,830215153.179637,1195469164.08273,1437755555.55556,1496700162.35408,1533568876.84089,1640200774.69966,1691054300.06629,1371776497.48049,1484148566.07947,1625386015.56633,1688158621.57823,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,265817211205.311,395646066535.875,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066,568636554720.066,598603016935.287,588959512629.692,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Armenia,ARM,5839777093.95123,3959424772.65728,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15406163977.6894,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Aruba,ABW,1669818678.8499,2735726915.78639,2962907262.56983,3013858155.98809,3226290954.32065,3303627899.75438,3229876376.13191,2383266968.91162,2958411905.44105,3210407008.76028,3347289755.67821,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,629466776079.67,872651653770.258,1351296372254.31,1388583854795.63,1420237898460.73,1461119016244.31,1492847874023.89,1491062566266.52,1522541404227.63,1587133480804.53,1641762491418.85,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Austria,AUT,239296977562.902,309014799991.68,379546097300.633,387581921933.047,396388752620.721,406235924727.366,413365269561.549,387247796564.086,405817602863.188,427236226636.132,423156281454.21,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,20240091907.5767,11918436828.1641,53076235354.746,51430872122.2426,51533733835.093,52306739842.6194,53614408373.9591,51308988759.0274,54190732985.9123,56745718946.4579,57383526259.1424,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,8557995783.83521,10506335029.8288,11671900000,11559626969.4738,11883240881.123,12195757028.0878,12030228260.9362,9452936752.71722,10908986680.2055,12085195064.0679,12404130127.1916,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bahrain,BHR,9444382363.28062,16199664042.0741,32523297872.3404,33764059498.7261,35436675410.8102,36164044588.1584,36906448210.9064,34724774104.3146,36235315986.0804,38402659963.6336,39547363674.0058,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,52852405164.9835,83492876905.7611,195146608978.131,209028320490.615,222803809377.443,239111739541.452,257958323968.613,266852772253.895,285368829855.224,305629528154.311,323279976841.364,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Barbados,BRB,4506291753.62327,5071302645.6655,5288057750,5382816060.91822,5389730072.92036,5326451133.48749,5361210776.86546,4554114648.02364,4542503209.52524,5352561584.79213,5571685827.33474,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belarus,BLR,29435182820.3807,26100365593.8692,56454889146.6088,55028586612.0854,56422011402.6863,58198852028.1251,59040672510.7894,58643480548.472,60073714183.7453,57275242735.7789,59501097357.3809,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belgium,BEL,295130312407.396,367797580691.145,461044767544.531,466547349016.531,473426438780.183,482317238512.932,494099718421.514,470417598481.151,499595504127.06,520745539238.467,527263714444.414,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belize,BLZ,752750268.212297,1363484410.72849,2193050000,2194246345.03921,2154467872.48551,2178394773.26969,2271360752.35822,1955575509.71701,2302615266.50756,2524886205.2506,2553897572.45142,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Benin,BEN,3958255490.52122,6219354272.83818,11388160997.1089,11768488383.6733,12435945493.1089,13268812303.0524,14179807375.1016,14725558723.7319,15779238957.7761,16765953415.3733,17831064526.9239,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bermuda,BMU,5127916036.27965,6739895068.97791,6654541000,6610806937.02849,6849550930.14215,6819905984.64909,6840793088.0543,6372686534.51154,6718028461.70344,7150073873.98764,7143293917.04073,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bhutan,BTN,478896647.41269,751822818.858646,2187815803.82922,2373253832.0828,2422779967.13104,2507622616.47827,2651940022.03121,2380954251.57499,2486224986.71556,2615853471.01817,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bolivia,BOL,11974420919.6569,17334777867.7741,33000198248.1292,34407300577.6622,35850757819.5236,37364958855.7283,38193230057.4451,34855949753.4171,36986126769.1183,38319728286.388,39500728992.5704,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bosnia and Herzegovina,BIH,3519825382.25294,10676417585.1095,16404348871.4437,16936219727.6767,17485647794.2627,18154910824.6593,18679105433.9912,18115912632.4361,19454671753.5435,20276983961.3676,20725333315.9436,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Botswana,BWA,5274313873.08845,8491986059.02571,13530748844.505,14505561464.3559,15102373014.4202,15734874525.0984,16211987795.536,14796883501.255,16560766198.0276,17469294498.1394,17946869751.4987,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brazil,BRA,917211118074.905,1186419100699.97,1802212206904.68,1743173232503.86,1766233131755.03,1797736845059.11,1819683217790.43,1760056587883.53,1843881120012.46,1899505377653.06,1954752120905.5,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brunei Darussalam,BRN,11278756570.9584,12244033124.2164,12930296852.4882,12609894729.6867,12777445744.2444,12784137427.3154,13278735782.1319,13429259999.6183,13215632370.1015,13000438059.9791,13183363105.8086,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bulgaria,BGR,38630990671.2382,30403689510.6865,50811995688.6771,52349886250.8068,53787375622.383,55158665587.1604,57248544889.4673,55407582000.7787,59718632534.0491,62130535277.7185,63302823436.9332,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Burkina Faso,BFA,3042310107.50399,5107828181.20084,11832159315.6298,12537116611.6541,13314855313.1302,14194244128.6065,15030172259.3791,15332394848.5201,16396850182.5889,16642350339.7932,17134994111.3648,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Burundi,BDI,2385838991.89422,1955416620.30264,3104003546.26497,3085379496.76838,3100806433.20295,3150727414.31633,3207836406.88248,3218331064.79216,3318099327.75908,3379450965.7308,3470696161.98259,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cabo Verde,CPV,313527702.860333,923550525.289887,1749857620.35329,1824764034.95256,1907814790.72833,1978536809.33193,2116002110.92756,1675762033.71886,1793627260.88123,2077803747.08658,2191572559.72877,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cambodia,KHM,6077176596.90233,7459479704.67578,24174170369.0738,26085259688.3373,28191654621.9478,30665817313.8491,33099747942.811,31922812945.0881,32909177695.673,34588654431.0863,36304274723.1727,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cameroon,CMR,15416689237.8441,17168567484.5749,32210233020.4569,33671222913.4548,34863580363.1151,36242614248.5756,37502066832.7403,37599547048.5841,38854942334.5769,40306867605.1364,41616173714.8732,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Canada,CAN,877824201432.118,1163199674646.76,1556508816217.14,1572673953080.04,1620386284372.81,1664832887596.13,1696605089927.38,1611126164920.14,1696305710720.04,1761102321572.64,1783097209318.73,..
