Entity,Code,Year,Hydro (% equivalent primary energy)
Africa,,1965,5.7402806
Africa,,1966,6.1139693
Africa,,1967,6.31658
Africa,,1968,6.994846
Africa,,1969,7.943917
Africa,,1970,9.148896
Africa,,1971,8.070071
Africa,,1972,8.695006
Africa,,1973,8.491902
Africa,,1974,9.203638
Africa,,1975,9.183559
Africa,,1976,9.371601
Africa,,1977,9.759739
Africa,,1978,9.475388
Africa,,1979,9.308774
Africa,,1980,8.442393
Africa,,1981,7.8161044
Africa,,1982,7.3361998
Africa,,1983,6.4208775
Africa,,1984,6.123807
Africa,,1985,6.5409307
Africa,,1986,6.6294737
Africa,,1987,6.16017
Africa,,1988,6.2873797
Africa,,1989,6.591977
Africa,,1990,6.4915814
Africa,,1991,6.8843637
Africa,,1992,6.4700303
Africa,,1993,6.320915
Africa,,1994,6.2134333
Africa,,1995,6.1953197
Africa,,1996,6.2989154
Africa,,1997,6.3201027
Africa,,1998,6.4988036
Africa,,1999,6.686719
Africa,,2000,6.9631853
Africa,,2001,7.176995
Africa,,2002,7.4016347
Africa,,2003,6.812909
Africa,,2004,6.659024
Africa,,2005,6.720261
Africa,,2006,6.788719
Africa,,2007,6.7193713
Africa,,2008,6.418616
Africa,,2009,6.4400983
Africa,,2010,6.710281
Africa,,2011,6.799689
Africa,,2012,6.505024
Africa,,2013,6.645577
Africa,,2014,6.795152
Africa,,2015,6.4450636
Africa,,2016,6.145985
Africa,,2017,6.2190533
Africa,,2018,6.460852
Africa,,2019,6.506698
Africa,,2020,7.292475
Africa,,2021,6.9212303
Africa,,2022,7.000037
Africa,,2023,7.2433095
Africa (EI),,1965,5.740281
Africa (EI),,1966,6.1139693
Africa (EI),,1967,6.31658
Africa (EI),,1968,6.994846
Africa (EI),,1969,7.9439173
Africa (EI),,1970,9.148897
Africa (EI),,1971,8.070071
Africa (EI),,1972,8.695006
Africa (EI),,1973,8.491902
Africa (EI),,1974,9.203638
Africa (EI),,1975,9.183559
Africa (EI),,1976,9.3716
Africa (EI),,1977,9.759739
Africa (EI),,1978,9.475388
Africa (EI),,1979,9.308774
Africa (EI),,1980,8.442393
Africa (EI),,1981,7.816105
Africa (EI),,1982,7.3362
Africa (EI),,1983,6.420877
Africa (EI),,1984,6.1238074
Africa (EI),,1985,6.5409307
Africa (EI),,1986,6.6294746
Africa (EI),,1987,6.1601706
Africa (EI),,1988,6.28738
Africa (EI),,1989,6.591977
Africa (EI),,1990,6.491581
Africa (EI),,1991,6.8843646
Africa (EI),,1992,6.4700303
Africa (EI),,1993,6.320915
Africa (EI),,1994,6.213433
Africa (EI),,1995,6.19532
Africa (EI),,1996,6.2989154
Africa (EI),,1997,6.3201027
Africa (EI),,1998,6.4988036
Africa (EI),,1999,6.6867185
Africa (EI),,2000,6.9631853
Africa (EI),,2001,7.1769943
Africa (EI),,2002,7.401635
Africa (EI),,2003,6.812909
Africa (EI),,2004,6.659024
Africa (EI),,2005,6.7202616
Africa (EI),,2006,6.788719
Africa (EI),,2007,6.7193713
Africa (EI),,2008,6.418616
Africa (EI),,2009,6.4400983
Africa (EI),,2010,6.710281
Africa (EI),,2011,6.799689
Africa (EI),,2012,6.505024
Africa (EI),,2013,6.645577
Africa (EI),,2014,6.795152
Africa (EI),,2015,6.4450645
Africa (EI),,2016,6.1459856
Africa (EI),,2017,6.2190537
Africa (EI),,2018,6.460853
Africa (EI),,2019,6.506698
Africa (EI),,2020,7.292475
Africa (EI),,2021,6.9212303
Africa (EI),,2022,7.000037
Africa (EI),,2023,7.243309
Algeria,DZA,1965,4.763068
Algeria,DZA,1966,3.518747
Algeria,DZA,1967,4.2919536
Algeria,DZA,1968,5.4861946
Algeria,DZA,1969,3.1827633
Algeria,DZA,1970,4.6656837
Algeria,DZA,1971,2.4559186
Algeria,DZA,1972,3.2783432
Algeria,DZA,1973,4.175826
Algeria,DZA,1974,2.4947383
Algeria,DZA,1975,1.3782818
Algeria,DZA,1976,1.4010223
Algeria,DZA,1977,0.8817282
Algeria,DZA,1978,0.6521151
Algeria,DZA,1979,0.5792936
Algeria,DZA,1980,0.42900163
Algeria,DZA,1981,0.50294036
Algeria,DZA,1982,0.57087004
Algeria,DZA,1983,0.25644943
Algeria,DZA,1984,0.5136736
Algeria,DZA,1985,0.72826535
Algeria,DZA,1986,0.26640448
Algeria,DZA,1987,0.5174274
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.22495818
