Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,1965,5.7402806
Africa,,1966,6.1139693
Africa,,1967,6.31658
Africa,,1968,6.994846
Africa,,1969,7.943917
Africa,,1970,9.148896
Africa,,1971,8.124995
Africa,,1972,8.7472725
Africa,,1973,8.54162
Africa,,1974,9.252387
Africa,,1975,9.228769
Africa,,1976,9.41638
Africa,,1977,9.803096
Africa,,1978,9.518462
Africa,,1979,9.349526
Africa,,1980,8.481443
Africa,,1981,7.8527517
Africa,,1982,7.3734274
Africa,,1983,6.456112
Africa,,1984,6.158578
Africa,,1985,6.579343
Africa,,1986,6.7159667
Africa,,1987,6.2439623
Africa,,1988,6.3621163
Africa,,1989,6.665461
Africa,,1990,6.585771
Africa,,1991,6.981014
Africa,,1992,6.5694675
Africa,,1993,6.4317904
Africa,,1994,6.309245
Africa,,1995,6.3062434
Africa,,1996,6.4332547
Africa,,1997,6.465726
Africa,,1998,6.67616
Africa,,1999,6.8586307
Africa,,2000,7.202939
Africa,,2001,7.436237
Africa,,2002,7.6719437
Africa,,2003,7.105202
Africa,,2004,6.980063
Africa,,2005,7.0285006
Africa,,2006,7.1611776
Africa,,2007,7.0572457
Africa,,2008,6.7617874
Africa,,2009,6.81071
Africa,,2010,7.12904
Africa,,2011,7.2594023
Africa,,2012,6.9972477
Africa,,2013,7.189636
Africa,,2014,7.5156765
Africa,,2015,7.5275054
Africa,,2016,7.4042726
Africa,,2017,7.641947
Africa,,2018,8.005553
Africa,,2019,8.356322
Africa,,2020,9.415897
Africa,,2021,9.152215
Africa,,2022,9.298186
Africa,,2023,9.826172
Africa (EI),,1965,5.740281
Africa (EI),,1966,6.1139693
Africa (EI),,1967,6.31658
Africa (EI),,1968,6.994846
Africa (EI),,1969,7.9439173
Africa (EI),,1970,9.148897
Africa (EI),,1971,8.124995
Africa (EI),,1972,8.7472725
Africa (EI),,1973,8.541621
Africa (EI),,1974,9.252387
Africa (EI),,1975,9.228769
Africa (EI),,1976,9.41638
Africa (EI),,1977,9.803096
Africa (EI),,1978,9.518462
Africa (EI),,1979,9.349526
Africa (EI),,1980,8.481443
Africa (EI),,1981,7.8527527
Africa (EI),,1982,7.373428
Africa (EI),,1983,6.456112
Africa (EI),,1984,6.1585784
Africa (EI),,1985,6.579343
Africa (EI),,1986,6.715967
Africa (EI),,1987,6.243963
Africa (EI),,1988,6.362117
Africa (EI),,1989,6.6654606
Africa (EI),,1990,6.585771
Africa (EI),,1991,6.9810143
Africa (EI),,1992,6.5694675
Africa (EI),,1993,6.43179
Africa (EI),,1994,6.309245
Africa (EI),,1995,6.3062434
Africa (EI),,1996,6.4332547
Africa (EI),,1997,6.4657254
Africa (EI),,1998,6.67616
Africa (EI),,1999,6.85863
Africa (EI),,2000,7.202939
Africa (EI),,2001,7.4362364
Africa (EI),,2002,7.6719437
Africa (EI),,2003,7.1052027
Africa (EI),,2004,6.980063
Africa (EI),,2005,7.028501
Africa (EI),,2006,7.1611776
Africa (EI),,2007,7.0572453
Africa (EI),,2008,6.7617874
Africa (EI),,2009,6.81071
Africa (EI),,2010,7.12904
Africa (EI),,2011,7.259402
Africa (EI),,2012,6.9972477
Africa (EI),,2013,7.189636
Africa (EI),,2014,7.5156765
Africa (EI),,2015,7.527506
Africa (EI),,2016,7.404273
Africa (EI),,2017,7.6419473
Africa (EI),,2018,8.005554
Africa (EI),,2019,8.356322
Africa (EI),,2020,9.415897
Africa (EI),,2021,9.152214
Africa (EI),,2022,9.298186
Africa (EI),,2023,9.826171
Algeria,DZA,1965,4.763068
Algeria,DZA,1966,3.518747
Algeria,DZA,1967,4.2919536
Algeria,DZA,1968,5.4861946
Algeria,DZA,1969,3.1827633
Algeria,DZA,1970,4.6656837
Algeria,DZA,1971,2.4559186
Algeria,DZA,1972,3.2783432
Algeria,DZA,1973,4.175826
Algeria,DZA,1974,2.4947383
Algeria,DZA,1975,1.3782818
Algeria,DZA,1976,1.4010223
Algeria,DZA,1977,0.8817282
Algeria,DZA,1978,0.6521151
Algeria,DZA,1979,0.5792936
Algeria,DZA,1980,0.42900163
Algeria,DZA,1981,0.50294036
Algeria,DZA,1982,0.57087004
Algeria,DZA,1983,0.25644943
Algeria,DZA,1984,0.5136736
Algeria,DZA,1985,0.72826535
Algeria,DZA,1986,0.26640448
Algeria,DZA,1987,0.5174274
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.22495818
